timestamp,accX,accY,accZ,label
897.1660,0.9300,-0.2600,0.0200,normal
897.1760,0.9100,-0.2600,0.0000,normal
897.1860,0.8800,-0.2300,0.0200,normal
897.1960,0.8900,-0.3400,0.0900,normal
897.2060,0.8700,-0.1600,0.1900,normal
897.2160,1.0900,0.1600,0.0100,normal
897.2260,1.0000,0.0200,0.0800,normal
897.2360,0.8600,-0.0300,0.1000,normal
897.2460,0.9000,-0.2800,0.0200,normal
897.2560,0.9400,-0.1100,0.0700,normal
897.2660,1.0000,-0.0900,-0.1700,normal
897.2760,0.9500,-0.1800,-0.0400,normal
897.2860,0.9500,-0.3296,0.1395,normal
897.2960,0.9800,-0.1100,0.0000,normal
897.3060,1.0200,-0.0400,0.0400,normal
897.3160,1.0193,-0.0383,0.0390,normal
897.3260,0.9996,0.0084,0.0100,normal
897.3360,0.9800,-0.0726,0.0108,normal
897.3460,0.9802,-0.1992,0.0482,normal
897.3560,0.9908,-0.1604,-0.0392,normal
897.3660,1.0092,-0.1689,-0.0197,normal
897.3760,0.9600,-0.1000,0.0002,normal
897.3860,0.9594,-0.0991,0.0200,normal
897.3960,0.9416,-0.0710,0.0194,normal
897.4060,0.9895,-0.1002,-0.0002,normal
897.4160,0.9600,-0.1105,-0.0095,normal
897.4260,0.9600,-0.1407,0.0200,normal
897.4360,0.9592,-0.1585,0.0192,normal
897.4460,0.9401,-0.1200,0.0000,normal
897.4560,0.9593,-0.1193,0.0102,normal
897.4660,0.9211,-0.0811,0.0200,normal
897.4760,0.9500,-0.1100,0.0196,normal
897.4860,0.9505,-0.1103,0.0095,normal
897.4960,0.9799,-0.1301,-0.0199,normal
897.5060,0.9696,-0.1389,-0.0093,normal
897.5160,0.9597,-0.1097,0.0110,normal
897.5260,0.9500,-0.0998,0.0397,normal
897.5360,0.9510,-0.0906,0.0196,normal
897.5460,0.9994,-0.1198,-0.0004,normal
897.5560,0.9708,-0.1104,-0.0185,normal
897.5660,0.9894,-0.1197,0.0198,normal
897.5760,0.9500,-0.1000,0.0100,normal
897.5860,0.9800,-0.1000,0.0000,normal
897.5960,0.9900,-0.1100,0.0100,normal
897.6060,0.9900,-0.1000,-0.0200,normal
897.6160,1.0000,-0.1100,0.0000,normal
897.6260,0.9800,-0.0700,-0.0100,normal
897.6360,1.0000,-0.1000,0.0100,normal
897.6460,0.9500,-0.0700,0.0000,normal
897.6560,0.9800,-0.1000,0.0000,normal
897.6660,0.9600,-0.1000,-0.0100,normal
897.6760,0.9900,-0.1100,0.0000,normal
897.6860,1.0100,-0.0200,-0.0400,normal
897.6960,0.9700,-0.0600,-0.0200,normal
897.7060,0.9700,-0.1100,0.0200,normal
897.7160,0.9200,-0.0800,0.0000,normal
897.7260,0.9900,-0.1100,-0.0200,normal
897.7360,0.9500,-0.1000,0.0100,normal
897.7460,1.0100,-0.0800,-0.0200,normal
897.7560,0.9700,-0.1000,0.0000,normal
897.7660,1.0000,-0.0700,0.0200,normal
897.7760,0.9800,-0.0900,0.0000,normal
897.7860,0.9700,-0.0700,-0.0200,normal
897.7960,1.0000,-0.1100,0.0200,normal
897.8060,1.0000,-0.0900,-0.0400,normal
897.8160,1.0200,-0.0900,0.0000,normal
897.8260,0.9600,-0.0700,0.0200,normal
897.8360,0.9900,-0.0800,-0.0100,normal
897.8460,0.9800,-0.0900,0.0200,normal
897.8560,1.0100,-0.0900,0.0100,normal
897.8660,1.0100,-0.1100,0.0000,normal
897.8760,0.9900,-0.0700,0.0100,normal
897.8860,1.0000,-0.1000,0.0100,normal
897.8960,0.9800,-0.0900,0.0000,normal
897.9060,1.0000,-0.0900,0.0100,normal
897.9160,0.9600,-0.0900,0.0100,normal
897.9260,1.0200,-0.1000,0.0200,normal
897.9360,0.9900,-0.1000,0.0000,normal
897.9460,1.0100,-0.0900,0.0100,normal
897.9560,0.9800,-0.0900,0.0300,normal
897.9660,0.9700,-0.0700,0.0000,normal
897.9760,1.0000,-0.1100,0.0100,normal
897.9860,0.9800,-0.0900,-0.0100,normal
897.9960,1.0100,-0.0900,-0.0100,normal
898.0060,0.9700,-0.0800,0.0100,normal
898.0160,1.0000,-0.0900,0.0200,normal
898.0260,0.9700,-0.1100,0.0200,normal
898.0360,0.9900,-0.0900,0.0100,normal
898.0460,1.0000,-0.1200,0.0000,normal
898.0560,0.9700,-0.0900,0.0000,normal
898.0660,0.9800,-0.1100,0.0400,normal
898.0760,0.9400,-0.0900,0.0300,normal
898.0860,0.9900,-0.1000,0.0000,normal
898.0960,0.9500,-0.1100,0.0200,normal
898.1060,0.9900,-0.0900,0.0200,normal
898.1160,0.9600,-0.0900,0.0200,normal
898.1260,0.9800,-0.1000,0.0100,normal
898.1360,0.9300,-0.1200,0.0100,normal
898.1460,0.9200,-0.1100,0.0000,normal
898.1560,0.9300,-0.1300,0.0400,normal
898.1660,0.9100,-0.0900,0.0200,normal
898.1760,0.9300,-0.1100,0.0200,normal
898.1860,0.8700,-0.1100,0.0300,normal
898.1960,0.9300,-0.1400,0.0100,normal
898.2060,0.9100,-0.1300,0.0000,normal
898.2160,0.9100,-0.1000,0.0500,normal
898.2260,0.9000,-0.1000,0.0500,normal
898.2360,0.9200,-0.1000,0.0200,normal
898.2460,0.9600,-0.1300,0.0200,normal
898.2560,0.9500,-0.1100,0.0000,normal
898.2660,0.9600,-0.1100,0.0200,normal
898.2760,0.9100,-0.0900,0.0500,normal
898.2860,0.9700,-0.0900,0.0200,normal
898.2960,0.9700,-0.1000,0.0200,normal
898.3060,1.0300,-0.1000,0.0200,normal
898.3160,1.0100,-0.1100,0.0300,normal
898.3260,1.0000,-0.0700,0.0100,normal
898.3360,1.0100,-0.0900,0.0200,normal
898.3460,1.0000,-0.0700,0.0100,normal
898.3560,1.0500,-0.0800,0.0100,normal
898.3660,1.0100,-0.0500,0.0100,normal
898.3760,1.0600,-0.0900,0.0200,normal
898.3860,1.0300,-0.0700,0.0000,normal
898.3960,1.0500,-0.0700,0.0200,normal
