timestamp,accX,accY,accZ,label
1492.9920,0.9000,-0.1500,0.0600,udrykning
1493.0020,0.9500,-0.1300,0.0200,udrykning
1493.0120,0.9300,-0.1400,0.1200,udrykning
1493.0220,0.9700,-0.1600,0.0400,udrykning
1493.0320,0.9799,-0.1799,0.1096,udrykning
1493.0420,0.9900,-0.1500,0.1100,udrykning
1493.0520,0.9700,-0.1600,0.1200,udrykning
1493.0620,0.9600,-0.1200,0.1300,udrykning
1493.0720,1.0000,-0.2200,0.0800,udrykning
1493.0820,1.0200,-0.1900,0.0700,udrykning
1493.0920,1.0500,-0.1300,0.0800,udrykning
1493.1020,0.9500,-0.1200,0.1400,udrykning
1493.1120,0.9900,-0.1500,0.1400,udrykning
1493.1220,1.0700,-0.1600,0.0600,udrykning
1493.1320,1.0711,-0.1618,0.0628,udrykning
1493.1420,1.0981,-0.2089,0.1381,udrykning
1493.1520,1.0504,-0.1799,0.0904,udrykning
1493.1620,1.0789,-0.1700,0.1192,udrykning
1493.1720,1.0193,-0.1686,0.0855,udrykning
1493.1820,1.0020,-0.1313,0.2316,udrykning
1493.1920,1.0604,-0.1701,-0.0080,udrykning
1493.2020,1.0902,-0.1796,0.1302,udrykning
1493.2120,1.1007,-0.1597,0.1334,udrykning
1493.2220,1.1191,-0.1516,-0.0456,udrykning
1493.2320,1.0891,-0.1993,0.0905,udrykning
1493.2420,1.0393,-0.1607,0.1198,udrykning
1493.2520,1.0013,-0.1997,0.1070,udrykning
1493.2620,1.0406,-0.1895,0.0202,udrykning
1493.2720,1.0997,-0.1397,0.0401,udrykning
1493.2820,1.0784,-0.1214,0.0500,udrykning
1493.2920,1.0000,-0.1903,0.0490,udrykning
1493.3020,1.0000,-0.1997,0.0200,udrykning
1493.3120,0.9999,-0.1891,0.0199,udrykning
1493.3220,0.9892,-0.1108,0.0108,udrykning
1493.3320,0.9507,-0.1500,0.0493,udrykning
1493.3420,0.9697,-0.1503,0.0303,udrykning
1493.3520,0.9604,-0.1607,0.0394,udrykning
1493.3620,0.9898,-0.2096,0.0002,udrykning
1493.3720,0.9786,-0.1890,0.0110,udrykning
1493.3820,0.9407,-0.1600,0.0411,udrykning
1493.3920,0.9600,-0.1603,0.0696,udrykning
1493.4020,0.9588,-0.1796,0.0394,udrykning
1493.4120,0.9000,-0.1600,0.0100,udrykning
1493.4220,0.8600,-0.1600,0.0200,udrykning
1493.4320,0.9300,-0.1500,-0.0100,udrykning
1493.4420,0.9800,-0.1400,0.0200,udrykning
1493.4520,0.9800,-0.1300,0.0700,udrykning
1493.4620,0.9100,-0.1700,0.0300,udrykning
1493.4720,0.8900,-0.1500,0.0300,udrykning
1493.4820,0.8900,-0.1300,-0.0100,udrykning
